"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stflife"
"ESS3e03_7",3,"3.7","01.12.2018",103,"BG",1.1519,2.0986834,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",104,"BG",0.768,0.5212989,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",105,"BG",1.5359,1.2390735,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",106,"BG",0.768,0.9249373,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",107,"BG",0.768,1.017023,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",109,"BG",1.1519,1.3872855,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",110,"BG",0.768,0.9249373,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",201,"BG",1.1519,0.8874119,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",204,"BG",0.768,0.6195771,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",205,"BG",1.9199,1.7209625,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",206,"BG",1.1519,1.2826524,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",218,"BG",1.5359,1.0070974,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",219,"BG",0.768,0.82351714,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",220,"BG",0.384,0.46246865,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",303,"BG",0.768,0.6884209,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",304,"BG",1.1519,1.0325416,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",305,"BG",1.9199,1.7209625,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",306,"BG",0.768,1.3992437,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",307,"BG",1.5359,2.0978022,0.4767642,,,,,9
"ESS3e03_7",3,"3.7","01.12.2018",316,"BG",0.768,0.6195771,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",319,"BG",1.5359,1.9270593,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",401,"BG",1.5359,1.9270593,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",404,"BG",0.768,0.6023794,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",405,"BG",0.768,0.6023794,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",413,"BG",0.384,0.5085115,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",415,"BG",1.5359,1.04253,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",417,"BG",1.9199,2.137828,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",420,"BG",0.768,0.59165925,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",501,"BG",0.768,0.9249373,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",502,"BG",0.768,0.6884209,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",506,"BG",0.768,0.9635924,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",509,"BG",0.768,1.017023,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",512,"BG",1.5359,1.9912567,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",517,"BG",1.1519,0.7553066,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",519,"BG",1.5359,2.0978022,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",601,"BG",1.1519,0.929285,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",602,"BG",0.768,1.017023,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",609,"BG",1.5359,1.9270593,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",610,"BG",0.768,1.3992437,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",616,"BG",0.768,0.6023794,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",618,"BG",0.768,0.6884209,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",620,"BG",0.768,0.6195771,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",701,"BG",0.384,0.29582962,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",702,"BG",0.768,1.0032363,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",704,"BG",0.768,0.6195771,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",707,"BG",0.768,0.9635924,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",712,"BG",1.1519,1.0325416,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",717,"BG",1.5359,1.2390735,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",718,"BG",0.768,1.3992437,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",801,"BG",1.5359,1.8497541,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",808,"BG",0.768,1.017023,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",809,"BG",0.768,0.9249373,0.4767642,,,,,5
