Municipality,Type,Year,Variable,Value,Unit
Bled,Tourist,2023,Overnights,1082546,nights
Bohinj,Tourist,2023,Overnights,823190,nights
Bovec,Tourist,2023,Overnights,557872,nights
Celje,Capital,2023,Overnights,58789,nights
Koper,Capital,2023,Overnights,360128,nights
Kranj,Capital,2023,Overnights,120143,nights
Kranjska Gora,Tourist,2023,Overnights,961144,nights
Ljubljana,Capital,2023,Overnights,2299336,nights
Maribor,Capital,2023,Overnights,531614,nights
Murska Sobota,Capital,2023,Overnights,31938,nights
Nova Gorica,Capital,2023,Overnights,178236,nights
Novo mesto,Capital,2023,Overnights,57310,nights
Piran,Tourist,2023,Overnights,1818936,nights
Bled,Tourist,2008,Migration,2.8,per 1000 residents
Slovenija,Country,2008,Migration,9.2,per 1000 residents
Bohinj,Tourist,2008,Migration,7.7,per 1000 residents
Bovec,Tourist,2008,Migration,-1.9,per 1000 residents
Celje,Capital,2008,Migration,4.5,per 1000 residents
Koper,Capital,2008,Migration,24.7,per 1000 residents
Kranj,Capital,2008,Migration,8.2,per 1000 residents
Kranjska Gora,Tourist,2008,Migration,-10.9,per 1000 residents
Ljubljana,Capital,2008,Migration,26.4,per 1000 residents
Maribor,Capital,2008,Migration,6.1,per 1000 residents
Murska Sobota,Capital,2008,Migration,-5.2,per 1000 residents
Nova Gorica,Capital,2008,Migration,7.7,per 1000 residents
Novo mesto,Capital,2008,Migration,8.4,per 1000 residents
Piran,Tourist,2008,Migration,-1.7,per 1000 residents
Bled,Tourist,2009,Migration,1.1,per 1000 residents
Slovenija,Country,2009,Migration,5.6,per 1000 residents
Bohinj,Tourist,2009,Migration,8.7,per 1000 residents
Bovec,Tourist,2009,Migration,2.8,per 1000 residents
Celje,Capital,2009,Migration,-5.0,per 1000 residents
Koper,Capital,2009,Migration,19.9,per 1000 residents
Kranj,Capital,2009,Migration,6.6,per 1000 residents
Kranjska Gora,Tourist,2009,Migration,-11.1,per 1000 residents
Ljubljana,Capital,2009,Migration,14.2,per 1000 residents
Maribor,Capital,2009,Migration,4.0,per 1000 residents
Murska Sobota,Capital,2009,Migration,-5.0,per 1000 residents
Nova Gorica,Capital,2009,Migration,3.5,per 1000 residents
Novo mesto,Capital,2009,Migration,9.0,per 1000 residents
Piran,Tourist,2009,Migration,29.2,per 1000 residents
Bled,Tourist,2010,Migration,-4.7,per 1000 residents
Slovenija,Country,2010,Migration,-0.3,per 1000 residents
Bohinj,Tourist,2010,Migration,-3.0,per 1000 residents
Bovec,Tourist,2010,Migration,16.3,per 1000 residents
Celje,Capital,2010,Migration,-6.4,per 1000 residents
Koper,Capital,2010,Migration,7.2,per 1000 residents
Kranj,Capital,2010,Migration,-0.3,per 1000 residents
Kranjska Gora,Tourist,2010,Migration,0.6,per 1000 residents
Ljubljana,Capital,2010,Migration,-1.4,per 1000 residents
Maribor,Capital,2010,Migration,-3.6,per 1000 residents
Murska Sobota,Capital,2010,Migration,-1.9,per 1000 residents
Nova Gorica,Capital,2010,Migration,-1.3,per 1000 residents
Novo mesto,Capital,2010,Migration,4.3,per 1000 residents
Piran,Tourist,2010,Migration,0.4,per 1000 residents
Bled,Tourist,2011,Migration,1.8,per 1000 residents
Slovenija,Country,2011,Migration,1.0,per 1000 residents
Bohinj,Tourist,2011,Migration,-10.3,per 1000 residents
Bovec,Tourist,2011,Migration,-19.0,per 1000 residents
Celje,Capital,2011,Migration,-1.4,per 1000 residents
Koper,Capital,2011,Migration,4.6,per 1000 residents
Kranj,Capital,2011,Migration,2.7,per 1000 residents
Kranjska Gora,Tourist,2011,Migration,7.0,per 1000 residents
Ljubljana,Capital,2011,Migration,-0.8,per 1000 residents
Maribor,Capital,2011,Migration,0.2,per 1000 residents
Murska Sobota,Capital,2011,Migration,1.0,per 1000 residents
Nova Gorica,Capital,2011,Migration,-5.1,per 1000 residents
Novo mesto,Capital,2011,Migration,-1.4,per 1000 residents
Piran,Tourist,2011,Migration,-4.8,per 1000 residents
Bled,Tourist,2012,Migration,-2.2,per 1000 residents
Slovenija,Country,2012,Migration,0.3,per 1000 residents
